content,score,sentiment,polarity,textblob_sentiment,textblob_polarity,textblob_subject,vader_compound,vader_neg,vader_neu,vader_pos,clean_content,clean_vader_compound,clean_vader_neg,clean_vader_neu,clean_vader_pos,clean_textblob_sentiment,clean_textblob_polarity,clean_textblob_subject
"""Spend Analysis"" feature is really spotty. Occasionally manual adjustments works, but more often than not it doesn't work at all. The app /still/ doesn't show cents, despite seemingly using them behind-the-scene, leading to a very small difference between the balance shown on the app vs. what you would have if you calculated your transaction manually, as you can only see up to ones and not cents. Every other banking app I used shows cents values, because they value transparency and accuracy.",1,0,negative,"Sentiment(polarity=0.04166666666666666, subjectivity=0.4533333333333333)",0.041666667,0.453333333,0.7684,0,0.922,0.078,spend occasion manual adjust work often work still show cent use behind scene lead veri small differ shown would transact manual one cent bank use show cent,0,0,1,0,"Sentiment(polarity=-0.325, subjectivity=0.55)",-0.325,0.55
"Please fix the app. It's sooo lagging to move the money, transfer, basically for doing any operation, even when the connection is fine. If there is bank digital that offer pocket feature, I will move on from Jago to be honest. The only thing make me stay is the pocket feature since I have numerous saving/spending sections.",1,0,negative,"Sentiment(polarity=0.2033333333333333, subjectivity=0.58)",0.203333333,0.58,0.6486,0.034,0.848,0.118,lag move money transfer basic even connect fine bank digit offer pocket move honest thing make stay pocket save spend section,0.7096,0.087,0.614,0.3,"Sentiment(polarity=0.33888888888888885, subjectivity=0.5083333333333333)",0.338888889,0.508333333
"1. Cannot open notification, always says something went wrong, must clear data and relog every time to works again 2. Cannot add Dana ewallet, it says unregistered number",1,0,negative,"Sentiment(polarity=-0.13333333333333333, subjectivity=0.5944444444444444)",-0.133333333,0.594444444,-0.0516,0.097,0.781,0.122,open alway say went wrong must clear data time work say number,-0.0516,0.194,0.562,0.244,"Sentiment(polarity=-0.13333333333333333, subjectivity=0.5944444444444444)",-0.133333333,0.594444444
"Ngelag parah. The app lagging, lagging, and lagging. Phone already have 8GB RAM and only run Jago, but keep lagging, especially when you are about paying with QR in quick.",1,0,negative,"Sentiment(polarity=0.1111111111111111, subjectivity=0.8333333333333334)",0.111111111,0.833333333,-0.6486,0.219,0.781,0,parah lag lag lag phone keep lag pay quick,-0.8402,0.733,0.267,0,"Sentiment(polarity=0.3333333333333333, subjectivity=0.5)",0.333333333,0.5
"Phone on root with magisk, Jago is in deny list to keep it safe. But i still can't open it. Hope this will be fixed because I need root to keep my phone working",1,0,negative,"Sentiment(polarity=0.19999999999999998, subjectivity=0.39999999999999997)",0.2,0.4,-0.4327,0.127,0.821,0.052,phone root list keep safe still open hope fix need root keep phone work,0.7003,0,0.674,0.326,"Sentiment(polarity=0.25, subjectivity=0.5)",0.25,0.5
"blocked my card without any acceptable reason. it said ""i have a failed subscription"" when i definitely don't. the only failed transaction was a week ago and it's not even a subscription. if your bank really cares and is secure, you would've blocked the card immediately, not a week after. requires me to add some balance to reactivate the card, and when i asked what would they do with the fund, they didn't answer. don't even ask me to contact Tanya Jago because I DID and they DIDN'T HELP.",1,0,negative,"Sentiment(polarity=-0.06666666666666667, subjectivity=0.4833333333333334)",-0.066666667,0.483333333,-0.0432,0.119,0.774,0.107,block card without accept reason said fail subscript fail transact week even subscript bank care would block card week card ask would fund answer even contact help,-0.8436,0.367,0.489,0.144,"Sentiment(polarity=-0.5, subjectivity=0.29999999999999993)",-0.5,0.3
I have just installed the new update less than 10 mins ago. I find it really buggy as it now takes forever to transfer money,1,0,negative,"Sentiment(polarity=0.05656565656565657, subjectivity=0.2404040404040404)",0.056565657,0.24040404,0,0,1,0,less min find take transfer money,0,0,1,0,"Sentiment(polarity=-0.16666666666666666, subjectivity=0.06666666666666667)",-0.166666667,0.066666667
Hmmm I can't open Jago now. I'm using Android 13 and marked my phone as rooted (I didn't even root this phone). Please fix the issue and I will change back to 5 stars.,1,0,negative,"Sentiment(polarity=0.03333333333333333, subjectivity=0.3666666666666667)",0.033333333,0.366666667,0.3182,0,0.935,0.065,open use android mark phone root even root phone chang back star,0,0,1,0,"Sentiment(polarity=0.0, subjectivity=0.25)",0,0.25
"I've been using this app for over 1 year now. Love the spend analysis and the pocket so i can distribute my money. Never have huge problem until yesterday, i send money to different bank account, for almost 24hr my money did not send successfully, it said still ON PROGRESS. Why it take so much time to send money? After i contact the staff, they said to wait for another 1x24. Huh, already lost my patience and my money didn't even back yet! So 1 star for me.",1,0,negative,"Sentiment(polarity=0.30833333333333335, subjectivity=0.5416666666666666)",0.308333333,0.541666667,0.659,0.069,0.827,0.104,use year love spend pocket money never huge problem yesterday send money differ bank account almost money send success said still progress take much time send money contact staff said wait lost money even back star,0.8567,0.091,0.639,0.27,"Sentiment(polarity=0.15999999999999998, subjectivity=0.33999999999999997)",0.16,0.34
"Akhir2 ini banyak masalah yang merugikan pemakai (some are compensated by Jago but some are not) Wil not use the app/service for a while, time to check competitor's product..",1,0,negative,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,0,0,1,0,yang time check competitor product,0,0,1,0,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0
